contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1_length_9592_cov_11.964874,1444,9592,11.964874,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,KM517573.1,99.583,9590,38,0.0,17487.0,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,QIN86064.1,99.485,2135,11,0.0,4244.0
NODE_16_length_268_cov_5.793427,16,268,5.793427,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,MH742892.1,100.0,268,0,1.71e-138,496.0,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,QJC60282.1,100.0,71,0,1.8e-27,96.3
NODE_2_length_5262_cov_20.344152,1375,5262,20.344152,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,MH327947.1,99.544,5262,24,0.0,9585.0,3049954,1868215,11244,11157,2497574,2497569,2732396,10239,Viruses,AOS89979.1,100.0,372,0,0.0,768.0
NODE_3_length_1497_cov_5.575589,98,1497,5.575589,562,561,543,91347,1236,1224,-650,2,Bacteria,CP014269.1,100.0,158,0,1.47e-76,292.0,562,561,543,91347,1236,1224,-650,2,Bacteria,WP_162828278.1,100.0,80,0,8e-53,167.0
NODE_30_length_245_cov_2.768421,16,245,2.768421,573,570,543,91347,1236,1224,-650,2,Bacteria,CP030923.1,99.592,245,1,4.39e-124,448.0,562,561,543,91347,1236,1224,-650,2,Bacteria,EMR91680.1,82.5,40,6,6.91e-19,67.4
NODE_33_length_240_cov_1.502703,6,240,1.502703,573,570,543,91347,1236,1224,-650,2,Bacteria,CP030923.1,95.868,242,7,2.64e-106,388.0,1458425,2490452,80864,80840,28216,1224,-650,2,Bacteria,BAO82212.1,78.571,56,12,2.5e-27,89.0
NODE_4_length_874_cov_12.857143,127,874,12.857143,562,561,543,91347,1236,1224,-650,2,Bacteria,CP019944.1,99.874,793,1,0.0,1459.0,562,561,543,91347,1236,1224,-650,2,Bacteria,AFH16416.1,94.57,221,10,1.79e-153,430.0
NODE_5_length_448_cov_2.096692,12,448,2.096692,562,561,543,91347,1236,1224,-650,2,Bacteria,GQ149348.1,100.0,77,0,4.49e-32,143.0,1625,2767881,33958,186826,91061,1239,-650,2,Bacteria,POH17992.1,79.412,68,7,9.79e-32,105.0
NODE_6_length_419_cov_32.337912,209,419,32.337912,573,570,543,91347,1236,1224,-650,2,Bacteria,CP030923.1,93.496,369,18,9.81e-153,544.0,573,570,543,91347,1236,1224,-650,2,Bacteria,CCI74526.1,87.736,106,11,1.38e-63,185.0
NODE_7_length_372_cov_8.690852,32,372,8.690852,573,570,543,91347,1236,1224,-650,2,Bacteria,CP020061.1,100.0,372,0,0.0,688.0,562,561,543,91347,1236,1224,-650,2,Bacteria,AFH16416.1,100.0,123,0,3.7e-87,254.0
NODE_8_length_344_cov_1.394464,9,344,1.394464,77133,-200,-300,-400,-500,-600,-650,2,Bacteria,KP142348.1,95.562,338,15,2.85e-152,542.0,562,561,543,91347,1236,1224,-650,2,Bacteria,EQW37646.1,83.117,77,13,4.71e-39,122.0
NODE_9_length_325_cov_1.788889,6,325,1.788889,562,561,543,91347,1236,1224,-650,2,Bacteria,GQ149348.1,97.819,321,1,1.6e-154,549.0,817,816,815,171549,200643,976,-650,2,Bacteria,OCR40908.1,96.296,108,4,1.14e-71,207.0
